sector,region_of_residence,gender,min_age,max_age,age_group,max_tax_rate,min_income_brackets,max_income_brackets,income_bracket_range,population_size
personale difesa  sicurezza e soccorso pubblico,sicilia,0,55,64,55-64,23,,fino a 28000,0–28000,38
personale difesa  sicurezza e soccorso pubblico,sicilia,0,55,64,55-64,35,oltre i 28000,fino a 50000,28000–50000,428
personale difesa  sicurezza e soccorso pubblico,sicilia,1,65, ,65- ,23,,fino a 28000,0–28000,13
personale difesa  sicurezza e soccorso pubblico,sicilia,1,65, ,65- ,35,oltre i 28000,fino a 50000,28000–50000,16
personale difesa  sicurezza e soccorso pubblico,sicilia,1,65, ,65- ,43,oltre i 50000,,50000+,1
personale difesa  sicurezza e soccorso pubblico,sicilia,1,18,24,18-24,23,,fino a 28000,0–28000,3713
personale difesa  sicurezza e soccorso pubblico,sicilia,1,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,187
personale difesa  sicurezza e soccorso pubblico,sicilia,1,25,34,25-34,23,,fino a 28000,0–28000,7453
personale difesa  sicurezza e soccorso pubblico,sicilia,1,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,1138
personale difesa  sicurezza e soccorso pubblico,sicilia,1,35,44,35-44,23,,fino a 28000,0–28000,3178
personale difesa  sicurezza e soccorso pubblico,sicilia,1,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,5026
personale difesa  sicurezza e soccorso pubblico,sicilia,1,35,44,35-44,43,oltre i 50000,,50000+,8
personale difesa  sicurezza e soccorso pubblico,sicilia,1,45,54,45-54,23,,fino a 28000,0–28000,503
personale difesa  sicurezza e soccorso pubblico,sicilia,1,45,54,45-54,35,oltre i 28000,fino a 50000,28000–50000,11577
personale difesa  sicurezza e soccorso pubblico,sicilia,1,45,54,45-54,43,oltre i 50000,,50000+,9
personale difesa  sicurezza e soccorso pubblico,sicilia,1,55,64,55-64,23,,fino a 28000,0–28000,587
personale difesa  sicurezza e soccorso pubblico,sicilia,1,55,64,55-64,35,oltre i 28000,fino a 50000,28000–50000,6546
personale difesa  sicurezza e soccorso pubblico,sicilia,1,55,64,55-64,43,oltre i 50000,,50000+,7
personale difesa  sicurezza e soccorso pubblico,toscana,0,65, ,65- ,23,,fino a 28000,0–28000,1
personale difesa  sicurezza e soccorso pubblico,toscana,0,65, ,65- ,35,oltre i 28000,fino a 50000,28000–50000,6
personale difesa  sicurezza e soccorso pubblico,toscana,0,18,24,18-24,23,,fino a 28000,0–28000,137
personale difesa  sicurezza e soccorso pubblico,toscana,0,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,16
personale difesa  sicurezza e soccorso pubblico,toscana,0,25,34,25-34,23,,fino a 28000,0–28000,347
personale difesa  sicurezza e soccorso pubblico,toscana,0,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,170
personale difesa  sicurezza e soccorso pubblico,toscana,0,35,44,35-44,23,,fino a 28000,0–28000,207
personale difesa  sicurezza e soccorso pubblico,toscana,0,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,303
personale difesa  sicurezza e soccorso pubblico,toscana,0,45,54,45-54,23,,fino a 28000,0–28000,28
personale difesa  sicurezza e soccorso pubblico,toscana,0,45,54,45-54,35,oltre i 28000,fino a 50000,28000–50000,397
personale difesa  sicurezza e soccorso pubblico,toscana,0,55,64,55-64,23,,fino a 28000,0–28000,51
personale difesa  sicurezza e soccorso pubblico,toscana,0,55,64,55-64,35,oltre i 28000,fino a 50000,28000–50000,468
personale difesa  sicurezza e soccorso pubblico,toscana,0,55,64,55-64,43,oltre i 50000,,50000+,1
personale difesa  sicurezza e soccorso pubblico,toscana,1,65, ,65- ,23,,fino a 28000,0–28000,7
personale difesa  sicurezza e soccorso pubblico,toscana,1,65, ,65- ,35,oltre i 28000,fino a 50000,28000–50000,8
personale difesa  sicurezza e soccorso pubblico,toscana,1,65, ,65- ,43,oltre i 50000,,50000+,1
personale difesa  sicurezza e soccorso pubblico,toscana,1,18,24,18-24,23,,fino a 28000,0–28000,470
personale difesa  sicurezza e soccorso pubblico,toscana,1,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,58
personale difesa  sicurezza e soccorso pubblico,toscana,1,25,34,25-34,23,,fino a 28000,0–28000,1506
personale difesa  sicurezza e soccorso pubblico,toscana,1,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,482
personale difesa  sicurezza e soccorso pubblico,toscana,1,35,44,35-44,23,,fino a 28000,0–28000,1403
personale difesa  sicurezza e soccorso pubblico,toscana,1,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,2691
personale difesa  sicurezza e soccorso pubblico,toscana,1,35,44,35-44,43,oltre i 50000,,50000+,3
