municipality,administration,min_age,max_age,age_group,gender,payment_method,salary_records
vittoria,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,32
vittoria,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,273
vittoria,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,68
vittoria,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,449
vittoria,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,111
vittoria,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,397
vittoria,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,134
vittoria,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,66
vittoria,ministero dell'istruzione e del merito,65, ,65- ,1,conto corrente/carta conto,29
vittorio veneto,ministero dell'istruzione e del merito,18,24,18-24,0,conto corrente/carta conto,9
vittorio veneto,ministero dell'istruzione e del merito,18,24,18-24,1,conto corrente/carta conto,6
vittorio veneto,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,96
vittorio veneto,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,51
vittorio veneto,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,102
vittorio veneto,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,65
vittorio veneto,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,201
vittorio veneto,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,64
vittorio veneto,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,218
vittorio veneto,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,71
vittorio veneto,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,15
vittorio veneto,ministero dell'istruzione e del merito,65, ,65- ,1,conto corrente/carta conto,13
vittuone,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,28
vittuone,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,16
vittuone,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,40
vittuone,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,19
vittuone,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,56
vittuone,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,15
vittuone,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,65
vittuone,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,19
vitulazio,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,28
vitulazio,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,6
vitulazio,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,43
vizzini,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,9
vizzini,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,15
vizzini,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,36
vizzini,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,10
vizzini,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,33
vizzini,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,6
vizzini,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,7
vizzolo predabissi,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,31
